,Company Name,company contact,company email,company phone,Address,City,State,Postcode,Industry,Industry descr,Company Type,Current fulltime,Job created,Job retain,Effective Date,Total Savings,Savings from beginning receiving benefits,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1,100 Church LLC,Edward A. Carroll,,2125663000,100 Church Street,NY,NY,10007,Commercial,21 Floors,LMEP,,,,04/02/2008,136578.2,4423698.05,New York,40.712968,-74.00949,101.0,1.0,21.0,1001409.0,1001250020.0,SoHo-TriBeCa-Civic Center-Little Italy
222,"JAMES CARPENTER DESIGN ASSOC., INC.",DIANE CHILLOG,james.carpenter@aol.com,2124314318,145 HUDSON ST. 4th Floor,NEW YORK,NY,10013,Manufacturing,Architectural glass design,ECSP,14.0,,,12/03/2007,255.99,16400.06,New York,40.721073,-74.008398,101.0,1.0,39.0,1002803.0,1002147502.0,SoHo-TriBeCa-Civic Center-Little Italy
305,"Noho Health, Inc",Aman Raju,aman@takecareof.com,8452229105,"75 Varick St, 9th Fl",New York,NY,10013,Wholesale/Warehouse/Distribution,"Distribution of vitamins, supplements, protein powders",ECSP,43.0,,,10/18/2019,5671.16,10726.1,New York,40.723217,-74.006227,102.0,1.0,37.0,1002934.0,1002260001.0,SoHo-TriBeCa-Civic Center-Little Italy
311,NY Telephone #11194,Quin Quinn,,2121112222,140 West Street,New York,NY,10007,Landlord,,ECSP,300.0,,,01/02/2008,1356.05,398668.88,New York,40.713843,-74.01379,101.0,1.0,21.0,1001228.0,1000847501.0,SoHo-TriBeCa-Civic Center-Little Italy
368,SIM Digital New York,Kim Spikes,kimspikes@siminternational.com,2126271662,12 Desbrosses Street,New York,NY,10013,Manufacturing,motion picture and tv post-production,ECSP,54.0,,,08/02/2018,42208.72,104844.84,New York,40.723365,-74.008756,101.0,1.0,39.0,1002932.0,1002250006.0,SoHo-TriBeCa-Civic Center-Little Italy
2,100 Wall Investments,Jerry Branam,,2122487160,96 Wall Street,New York,NY,10005,Landlord,,LMEP,1238.0,,,01/05/2015,302959.4,1814542.62,New York,40.705052,-74.007199,101.0,1.0,7.0,1000875.0,1000380001.0,Battery Park City-Lower Manhattan
4,"120 Broadway Acquisitions JV, LLC (Ldmk)",Carl Letich,clettich@silvprop.com,2124064020,120 Broadway,New York,NY,10271,Commercial,,LMEP,2699.0,,,06/30/2017,922407.32,3293055.08,New York,40.708546,-74.011041,101.0,1.0,7.0,1001026.0,1000477501.0,Battery Park City-Lower Manhattan
5,"120 Wall Street, LLC",Jason McCalla,jmccalla@silvprop.com,2125517391,120 Wall Street,New York,NY,10005,Commercial,Back Offices,LMEP,958.0,,,07/02/2015,368601.17,2090906.36,New York,40.70438,-74.006427,101.0,1.0,7.0,1000871.0,1000370001.0,Battery Park City-Lower Manhattan
10,"195 Broadway, LLC",Robert Riggs,,2129203381,195 Broadway,NY,NY,10007,Commercial,,LMEP,,,,03/04/2008,93675.37,3481992.69,New York,40.710536,-74.009378,101.0,1.0,13.0,1001227.0,1000800001.0,Battery Park City-Lower Manhattan
11,2 Rector Street (NY) LLC,Camille Giardina,Camellia.Giardina@am.jll.com,2126195920,2 Rector Street,New York,NY,10006,Landlord,Back Offices,LMEP,495.0,,,12/02/2019,46523.01,221193.9,New York,40.707808,-74.013053,101.0,1.0,13.0,1001031.0,1000510001.0,Battery Park City-Lower Manhattan
